Season,Position,Team,Points,Played,Won,Drawn,Lost,GF,GA,Diff,Form
2018-2019,12,FC NANTES,48,38,13,9,16,48,48,0,winwindrawdrawlose
2018-2019,13,ANGERS SCO,46,38,10,16,12,44,49,-5,drawwinloselosedraw
2018-2019,14,FC GIRONDINS DE BORDEAUX,41,38,10,11,17,34,42,-8,loseloseloselosewin
2018-2019,15,AMIENS SC,38,38,9,11,18,31,52,-21,drawdrawdrawlosewin
2018-2019,16,TOULOUSE FC,38,38,8,14,16,35,57,-22,losedrawdrawloselose
2018-2019,17,AS MONACO,36,38,8,12,18,38,57,-19,drawloselosewinlose
2018-2019,18,DIJON FCO,34,38,9,7,22,31,60,-29,loselosewinlosewin
2018-2019,19,STADE MALHERBE CAEN,33,38,7,12,19,29,54,-25,windrawwinloselose
2018-2019,20,EN AVANT GUINGAMP,27,38,5,12,21,28,68,-40,losedrawdrawdrawlose
2019-2020,1,PARIS SAINT-GERMAIN,68,27,22,2,3,75,24,+51,windrawwinwin
2019-2020,2,OLYMPIQUE DE MARSEILLE,56,28,16,8,4,41,29,+12,winwinlosewindraw
2019-2020,3,STADE RENNAIS FC,50,28,15,5,8,38,24,+14,drawlosewinwinwin
2019-2020,4,LOSC LILLE,49,28,15,4,9,35,27,+8,winlosewinwinwin
2019-2020,5,OGC NICE,41,28,11,8,9,41,38,+3,losewindrawdrawwin
2019-2020,6,STADE DE REIMS,41,28,10,11,7,26,21,+5,losewindrawdrawwin
2019-2020,7,OLYMPIQUE LYONNAIS,40,28,11,7,10,42,27,+15,losedrawwinwinlose
2019-2020,8,MONTPELLIER HÉRAULT SC,40,28,11,7,10,35,34,+1,winloselosewinlose
2019-2020,9,AS MONACO,40,28,11,7,10,44,44,0,winwindrawdrawlose
2019-2020,10,RC STRASBOURG ALSACE,38,27,11,5,11,32,32,0,windrawdrawlose
2019-2020,11,ANGERS SCO,39,28,11,6,11,28,33,-5,loselosewinwinwin
2019-2020,12,FC GIRONDINS DE BORDEAUX,37,28,9,10,9,40,34,+6,windrawlosedrawdraw
2019-2020,13,FC NANTES,37,28,11,4,13,28,31,-3,drawdrawwinloselose
2019-2020,14,STADE BRESTOIS 29,34,28,8,10,10,34,37,-3,drawwindrawloselose
2019-2020,15,FC METZ,34,28,8,10,10,27,35,-8,losedrawlosewinwin
2019-2020,16,DIJON FCO,30,28,7,9,12,27,37,-10,drawdrawdrawlosewin
2019-2020,17,AS SAINT-ÉTIENNE,30,28,8,6,14,29,45,-16,loselosedrawlosedraw
2019-2020,18,NÎMES OLYMPIQUE,27,28,7,6,15,29,44,-15,winwinloseloselose
2019-2020,19,AMIENS SC,23,28,4,11,13,31,50,-19,losedrawdrawlosedraw
2019-2020,20,TOULOUSE FC,13,28,3,4,21,22,58,-36,loseloseloseloselose
2020-2021,1,LOSC LILLE,83,38,24,11,3,64,23,+41,winwinwindrawwin
2020-2021,2,PARIS SAINT-GERMAIN,82,38,26,4,8,86,28,+58,winwindrawwinwin
2020-2021,3,AS MONACO,78,38,24,6,8,76,42,+34,winlosewinwindraw
2020-2021,4,OLYMPIQUE LYONNAIS,76,38,22,10,6,81,43,+38,losewinwinwinlose
2020-2021,5,OLYMPIQUE DE MARSEILLE,60,38,16,12,10,54,47,+7,windrawlosewindraw
2020-2021,6,STADE RENNAIS FC,58,38,16,10,12,52,40,+12,winlosedrawlosewin
2020-2021,7,RC LENS,57,38,15,12,11,55,54,+1,winloseloselosedraw
2020-2021,8,MONTPELLIER HÉRAULT SC,54,38,14,12,12,60,62,-2,loselosewindrawwin
2020-2021,9,OGC NICE,52,38,15,7,16,50,53,-3,winlosewinlosewin
2020-2021,10,FC METZ,47,38,12,11,15,44,48,-4,losewinloselosedraw
2020-2021,11,AS SAINT-ÉTIENNE,46,38,12,10,16,42,54,-12,losewinwindrawlose
2020-2021,12,FC GIRONDINS DE BORDEAUX,45,38,13,6,19,42,56,-14,losewinlosewinwin
2020-2021,13,ANGERS SCO,44,38,12,8,18,40,58,-18,loselosewinloselose
2020-2021,14,STADE DE REIMS,42,38,9,15,14,42,50,-8,losedrawloseloselose
2020-2021,15,RC STRASBOURG ALSACE,42,38,11,9,18,49,58,-9,losedrawlosewindraw
2020-2021,16,FC LORIENT,42,38,11,9,18,50,68,-18,winwinlosewindraw
2020-2021,17,STADE BRESTOIS 29,41,38,11,8,19,50,66,-16,winloselosedrawlose
2020-2021,18,FC NANTES,40,38,9,13,16,47,55,-8,winwinwinwinlose
2020-2021,19,NÎMES OLYMPIQUE,35,38,9,8,21,40,71,-31,losedrawwinloselose
2020-2021,20,DIJON FCO,21,38,4,9,25,25,73,-48,loseloseloselosewin
2021-2022,1,PARIS SAINT-GERMAIN,86,38,26,8,4,90,36,+54,drawdrawdrawwinwin
2021-2022,2,OLYMPIQUE DE MARSEILLE,71,38,21,8,9,63,38,+25,winlosewinlosewin
2021-2022,3,AS MONACO,69,38,20,9,9,65,40,+25,winwinwinwindraw
2021-2022,4,STADE RENNAIS FC,66,38,20,6,12,82,40,+42,winwinlosewindraw
2021-2022,5,OGC NICE,66,38,20,7,11,52,36,+16,winwinwinlosewin
2021-2022,6,RC STRASBOURG ALSACE,63,38,17,12,9,60,43,+17,losedrawwinwinlose
2021-2022,7,RC LENS,62,38,17,11,10,62,48,+14,drawdrawwinwindraw
2021-2022,8,OLYMPIQUE LYONNAIS,61,38,17,11,10,66,51,+15,winwinlosewinwin
2021-2022,9,FC NANTES,55,38,15,10,13,55,48,+7,windrawwinlosedraw
2021-2022,10,LOSC LILLE,55,38,14,13,11,48,48,0,winloselosewindraw
2021-2022,11,STADE BRESTOIS 29,48,38,13,9,16,49,57,-8,winwinloseloselose
2021-2022,12,STADE DE REIMS,46,38,11,13,14,43,44,-1,losewinlosewinlose
2021-2022,13,MONTPELLIER HÉRAULT SC,43,38,12,7,19,49,61,-12,losedrawloseloselose
2021-2022,14,ANGERS SCO,41,38,10,11,17,44,55,-11,drawlosewinlosewin
2021-2022,15,ESTAC TROYES,38,38,9,11,18,37,53,-16,losewindrawlosedraw
2021-2022,16,FC LORIENT,36,38,8,12,18,35,63,-28,loseloselosedrawdraw
2021-2022,17,CLERMONT FOOT 63,36,38,9,9,20,38,69,-31,drawlosewinloselose
2021-2022,18,AS SAINT-ÉTIENNE,32,38,7,11,20,42,77,-35,loseloseloselosedraw
2021-2022,19,FC METZ,31,38,6,13,19,35,69,-34,losedrawwinwinlose
2021-2022,20,FC GIRONDINS DE BORDEAUX,31,38,6,13,19,52,91,-39,loseloselosedrawwin
2022-2023,1,PARIS SAINT-GERMAIN,85,38,27,4,7,89,40,+49,winwinwindrawlose
2022-2023,2,RC LENS,84,38,25,9,4,68,29,+39,winwinwinwinwin
2022-2023,3,OLYMPIQUE DE MARSEILLE,73,38,22,7,9,67,40,+27,losewinloseloselose
2022-2023,4,STADE RENNAIS FC,68,38,21,5,12,69,39,+30,losewinwinwinwin
2022-2023,5,LOSC LILLE,67,38,19,10,9,65,44,+21,losedrawwinwindraw
2022-2023,6,AS MONACO,65,38,19,8,11,70,58,+12,windrawloseloselose
2022-2023,7,OLYMPIQUE LYONNAIS,62,38,18,8,12,65,47,+18,winlosewinwinlose
2022-2023,8,CLERMONT FOOT 63,59,38,17,8,13,45,49,-4,drawwinlosewinwin
2022-2023,9,OGC NICE,58,38,15,13,10,48,37,+11,winlosedrawwinwin
2022-2023,10,FC LORIENT,55,38,15,10,13,52,53,-1,windrawloselosewin
2022-2023,11,STADE DE REIMS,51,38,12,15,11,45,45,0,winlosedrawloselose
2022-2023,12,MONTPELLIER HÉRAULT SC,50,38,15,5,18,65,62,+3,losedrawwinlosewin
2022-2023,13,TOULOUSE FC,48,38,13,9,16,51,57,-6,drawdrawdrawdrawwin
2022-2023,14,STADE BRESTOIS 29,44,38,11,11,16,44,54,-10,losewinwinwinlose
2022-2023,15,RC STRASBOURG ALSACE,40,38,9,13,16,51,59,-8,winwindrawdrawlose
2022-2023,16,FC NANTES,36,38,7,15,16,37,55,-18,losedrawloselosewin
2022-2023,17,AJ AUXERRE,35,38,8,11,19,35,63,-28,drawloselosedrawlose
2022-2023,18,AC AJACCIO,26,38,7,5,26,23,74,-51,drawloseloselosewin
2022-2023,19,ESTAC TROYES,24,38,4,12,22,45,81,-36,loselosedrawlosedraw
2022-2023,20,ANGERS SCO,18,38,4,6,28,33,81,-48,loselosedrawwinlose
2023-2024,1,PARIS SAINT-GERMAIN,76,34,22,10,2,81,33,+48,windrawwinlosewin
2023-2024,2,AS MONACO,67,34,20,7,7,68,42,+26,winlosewinwinwin
2023-2024,3,STADE BRESTOIS 29,61,34,17,10,7,53,34,+19,losewindrawdrawwin
2023-2024,4,LOSC LILLE,59,34,16,11,7,52,34,+18,winwinlosewindraw
2023-2024,5,OGC NICE,55,34,15,10,9,40,29,+11,winwinlosewindraw
2023-2024,6,OLYMPIQUE LYONNAIS,53,34,16,5,13,49,55,-6,losewinwinwinwin
2023-2024,7,RC LENS,51,34,14,9,11,45,37,+8,winlosewindrawdraw
2023-2024,8,OLYMPIQUE DE MARSEILLE,50,34,13,11,10,52,41,+11,drawwinlosewinwin
2023-2024,9,STADE DE REIMS,47,34,13,8,13,42,47,-5,loselosewindrawwin
2023-2024,10,STADE RENNAIS FC,46,34,12,10,12,53,46,+7,winlosewindrawlose
2023-2024,11,TOULOUSE FC,43,34,11,10,13,42,46,-4,drawwinlosewinlose
2023-2024,12,MONTPELLIER HÉRAULT SC,41,34,10,12,12,43,48,-5,windrawwinlosedraw
2023-2024,13,RC STRASBOURG ALSACE,39,34,10,9,15,38,50,-12,loseloselosewinlose
2023-2024,14,FC NANTES,33,34,9,6,19,30,55,-25,losedrawdrawloselose
2023-2024,15,HAVRE ATHLETIC CLUB,32,34,7,11,16,34,45,-11,losedrawwinloselose
2023-2024,16,FC METZ,29,34,8,5,21,35,58,-23,winloseloseloselose
2023-2024,17,FC LORIENT,29,34,7,8,19,43,66,-23,loseloseloselosewin
2023-2024,18,CLERMONT FOOT 63,25,34,5,10,19,26,60,-34,losewinloseloselose
