Position,Team,Points,Played,Won,Drawn,Lost,GF,GA,Diff,Trend,Season
4,JUVENTUS,68,37,18,14,5,52,31,21,expand_more,2023-24
5,ATALANTA,66,36,20,6,10,67,39,28,expand_more,2023-24
6,ROMA,63,37,18,9,10,64,44,20,expand_more,2023-24
7,LAZIO,60,37,18,6,13,48,38,10,expand_more,2023-24
8,FIORENTINA,54,36,15,9,12,55,42,13,expand_more,2023-24
9,TORINO,53,37,13,14,10,36,33,3,expand_more,2023-24
10,NAPOLI,52,37,13,13,11,55,48,7,expand_more,2023-24
11,GENOA,46,37,11,13,13,43,45,-2,expand_more,2023-24
12,MONZA,45,37,11,12,14,39,49,-10,expand_more,2023-24
13,HELLAS VERONA,37,37,9,10,18,36,49,-13,expand_more,2023-24
14,LECCE,37,37,8,13,16,32,54,-22,expand_more,2023-24
15,CAGLIARI,36,37,8,12,17,40,65,-25,expand_more,2023-24
16,FROSINONE,35,37,8,11,18,44,68,-24,expand_more,2023-24
17,UDINESE,34,37,5,19,13,36,53,-17,expand_more,2023-24
18,EMPOLI,33,37,8,9,20,27,53,-26,expand_more,2023-24
19,SASSUOLO,29,37,7,8,22,42,74,-32,expand_more,2023-24
20,SALERNITANA,16,37,2,10,25,29,78,-49,expand_more,2023-24
